plant_name,name,recipe_type,difficulty,usage_method,description,treats,benefits,main_ingredient,preparation_steps,preparation_time,dosage,notes
"Hồ tiêu","Cháo tiêu giải cảm","other","easy","oral","Nấu cháo hành tiêu.","Cảm lạnh, bụng lạnh","Giải cảm, ấm bụng","Gạo, hành tía, tiêu bột","1. Nấu cháo chín nhừ.\n2. Cho nhiều hành và tiêu bột.\n3. Ăn nóng cho ra mồ hôi.","40","Ăn khi bị cảm.",""
"Hồ tiêu","Rượu ngâm tiêu","tincture","easy","topical","Ngâm hạt tiêu sọ với rượu.","Đau răng, sâu răng","Sát khuẩn, giảm đau","Hạt tiêu, rượu mạnh","1. Ngâm tiêu trong rượu 1 tuần.\n2. Chấm bông vào chỗ răng đau.","10","Không được uống.","Chỉ chấm vào chỗ sâu."
"Hồ tiêu","Trà gừng tiêu","tea","easy","oral","Pha trà tiêu gừng.","Lạnh bụng, buồn nôn","Cầm nôn, ấm tỳ vị","Vài hạt tiêu, lát gừng","1. Hãm tiêu và gừng với nước sôi.\n2. Uống ấm từng ngụm.","5","Uống khi cần.","Vị rất cay nồng."
"Húng chanh","Siro húng chanh quất","syrup","medium","oral","Hấp đường phèn trị ho.","Ho đờm, viêm họng trẻ em","Long đờm, giảm ho an toàn","10 lá húng chanh, 3 quả quất","1. Thái nhỏ lá, cắt đôi quất.\n2. Trộn đường phèn, hấp cách thủy 20 phút.\n3. Chắt lấy nước cốt.","30","Uống 3-4 lần/ngày.","Rất tốt cho trẻ nhỏ."
"Húng chanh","Lá tươi chữa rết cắn","paste","easy","topical","Giã đắp vết cắn.","Rết cắn, côn trùng đốt","Giảm đau, tiêu độc","Lá tươi sạch","1. Rửa sạch, nhai hoặc giã nát.\n2. Đắp bã vào vết cắn.","5","Sơ cứu ngay lập tức.",""
"Húng chanh","Xông giải cảm cúm","other","easy","inhale","Nấu nước xông.","Cảm cúm không ra mồ hôi","Thông mũi, giải cảm","Húng chanh, sả, gừng","1. Đun sôi nước xông.\n2. Xông 15 phút.","20","Xông khi bị cảm.",""
"Ổi","Nước sắc búp ổi","tea","medium","oral","Sắc búp non trị tiêu chảy.","Tiêu chảy cấp","Cầm tiêu chảy nhanh","7-9 búp ổi non","1. Rửa sạch búp ổi.\n2. Sắc với 400ml nước còn 100ml.\n3. Uống ấm.","20","Uống 2 lần/ngày.","Có thể thêm vài lát gừng nướng."
"Ổi","Nước ép ổi","juice","easy","oral","Nước ép quả giàu Vitamin C.","Đề kháng kém, chảy máu chân răng","Tăng đề kháng, bền thành mạch","2 quả ổi chín","1. Ép lấy nước cốt.\n2. Uống tươi.","10","Uống hàng ngày.","Ổi nhiều Vitamin C hơn cam."
"Ổi","Lá nấu nước tắm","other","easy","bath","Đun nước tắm trị rôm sảy.","Rôm sảy, mẩn ngứa ở trẻ","Sát khuẩn da, se da","1 nắm lá già","1. Đun sôi lá với nước.\n2. Pha ấm tắm cho bé.","20","Tắm hàng ngày mùa hè.",""
"Bồ hòn","Nước bồ hòn giặt tẩy","other","medium","other","Nấu nước thay xà phòng.","(Dùng sinh hoạt)","Giặt đồ, rửa bát an toàn","10-15 quả bồ hòn tách hạt","1. Ngâm quả qua đêm.\n2. Đun sôi 30 phút cho ra chất saponin.\n3. Lọc lấy nước dùng.","40","Dùng thay nước giặt.","An toàn cho da nhạy cảm và em bé."
"Bồ hòn","Dung dịch trị nấm da","topical","medium","topical","Sắc đặc bôi nấm.","Hắc lào, nấm da","Diệt nấm","Vỏ quả bồ hòn","1. Sắc thật đặc vỏ quả.\n2. Bôi lên vùng da nấm.","30","Bôi 2 lần/ngày.","Cẩn thận không dây vào mắt (rất cay)."
"Bồ hòn","Nước gội đầu sạch gàu","other","easy","bath","Kết hợp bồ kết gội đầu.","Gàu, nấm tóc","Sạch gàu, mượt tóc","Bồ hòn, bồ kết","1. Nấu nước gội đầu.\n2. Gội và xả sạch.","30","Gội 2 lần/tuần.","Tránh rơi vào mắt."
"Muồng trầu","Lá tươi trị hắc lào","paste","easy","topical","Giã nát đắp/bôi.","Hắc lào (lác đồng tiền)","Diệt nấm, sát khuẩn mạnh","Lá tươi, chút muối","1. Giã nát lá với muối.\n2. Chà xát nhẹ lên vết hắc lào.","10","Làm 2 lần/ngày.","Có thể để lại màu xanh trên da."
"Muồng trầu","Sắc uống nhuận tràng","tea","medium","oral","Sắc cành lá uống.","Táo bón nặng","Xổ, nhuận tràng","20g thân lá khô","1. Sao vàng.\n2. Sắc uống 1 bát nhỏ.","30","Uống trước khi đi ngủ.","Tác dụng tẩy mạnh, không dùng cho thai phụ."
"Muồng trầu","Nước tắm trị ghẻ","other","easy","bath","Nấu nước tắm.","Ghẻ ngứa toàn thân","Sát khuẩn, trị ghẻ","1 bó to thân lá","1. Đun sôi kỹ.\n2. Tắm và ngâm vùng da bị ghẻ.","20","Tắm liên tục 1 tuần.",""
"Dây răng cưa","Sắc vỏ trị đau răng","tea","medium","gargle","Sắc đặc ngậm súc miệng.","Đau răng, sâu răng","Giảm đau, chắc răng","Vỏ thân cây","1. Cạo lớp vỏ, rửa sạch.\n2. Sắc thật đặc với ít muối.\n3. Ngậm 10 phút rồi nhổ đi.","30","Ngậm nhiều lần trong ngày.","Rất hiệu quả."
"Dây răng cưa","Nhựa cây trị mụn đinh","paste","easy","topical","Bôi nhựa tươi.","Mụn đinh râu, mụn bọc","Tiêu sưng, gom mủ","Nhựa tươi","1. Chích thân cây lấy nhựa trắng.\n2. Bôi quanh nốt mụn (trừa đầu mụn).","5","Bôi 2 lần/ngày.",""
"Dây răng cưa","Lá khô sắc uống","tea","medium","oral","Sắc lá uống trị thấp khớp.","Đau nhức xương","Trừ thấp","20g lá khô","1. Sắc uống hàng ngày.","30","Dùng 1 đợt 10 ngày.",""
"Vối rừng","Hạt trị tiểu đường","powder","medium","oral","Hạt phơi khô tán bột.","Tiểu đường tuýp 2","Hạ đường huyết","Hạt quả chín già","1. Phơi khô hạt, sao thơm.\n2. Tán bột mịn.\n3. Uống với nước.","60","Uống 2g/lần, 2 lần/ngày.","Cần theo dõi đường huyết."
"Vối rừng","Nước sắc lá vối","tea","easy","oral","Nấu nước lá uống giải nhiệt.","Đầy bụng, ăn không tiêu","Kích thích tiêu hóa","Lá vối rừng tươi/khô","1. Hãm hoặc nấu nước uống thay trà.","15","Uống hàng ngày.","Vị chát nhẹ, thơm."
"Vối rừng","Ngâm rượu quả","tincture","medium","oral","Ngâm quả chín với rượu.","Đau nhức, tiêu hóa kém","Kích thích tiêu hóa","Quả chín tím đen","1. Rửa sạch, để ráo.\n2. Ngâm rượu trong 1 tháng.","30","Uống 1 ly nhỏ trong bữa ăn.","Rượu có màu tím đẹp."
